Organization,Country,language,ngram1,ngram2,ngram3,ngram4
Statistics Korea (KOSTAT),"Korea, Republic of",en,KOSTAT,Statistics Korea,,
Central Statistical Office,Kuwait,,,,,
National Statistical Committee of the Kyrgyz Republic,Kyrgyzstan,en,Statistical Committee ,,,
Lao Statistics Bureau,Lao People's Democratic Republic,en,Lao Statistics,,,
Central Statistics Bureau,Latvia,,,,,
Administration Centrale de la Statistique (ACS),Lebanon,fr,Centrale Statistique ,,,
Direction de la statistique,Lesotho,fr,Direction statistique,,,
Office of Statistics,Liechtenstein,,,,,
Liberia Institute of Statistics and Geo-Information Services (LISGIS),Liberia,en,,,,LISGIS
National Corporation for Information and Documentation,Libya,,,,,
Statistics Lithuania,Lithuania,en,Statistics Lithuania,,,
STATEC,Luxembourg,en,,,,STATEC
Madagascar Institut National de la Statistique (INSTAT),Madagascar,fr,,,,INSTAT
National Statistics Office,Malawi,,,,,
Department of Statistics,Malaysia,,,,,
Department of National Planning,Maldives,,,,,
Institut National de la Statistique (INSTAT),Mali,,,,,
National Statistics Office,Malta,,,,,
"Economic Policy, Planning and Statistics Office (EPPSO)",Marshall Islands,en,Planning Statistics,,,EPPSO
Office National de la Statistique,Mauritania,,,,,
Central Statistical Office,Mauritius,,,,,
Instituto Nacional de Estadistica,Mexico,,,,,
"Office of Statistics, Budget and Economic Management","Micronesia, Federated State of",en,Statistics Budget,,,
National Bureau for Statistics,Moldova,,,,,
National Statistical Office,Mongolia,,,,,
Statistical Office of Montenegro (MONSTAT),Montenegro,en,,,,MONSTAT
Ministry of Finance and Economic Development,Montserrat,,,,,
Direction de la statistique,Morocco,fr,Direction statistique,,,
National Institute of Statistics (INE),Mozambique,,,,,
Central Statistical Organization,Myanmar,,,,,
Central Bureau of Statistics (CBS),Namibia,,,,,
National Statistics Office,Nauru,,,,,
Central Bureau of Statistics,Nepal,,,,,
Central Bureau of Statistics,Netherlands,,,,,
Institute of Statistics and Economic Studies (ISSE),New Caledonia,en,Statistics Economic,,,
Statistics New Zealand,New Zealand,en,Statistics New,Statistics NZ,,
Instituto Nacional de Información de Desarrollo,Nicaragua,,,,,
Institut National de la Statistique,Niger,,,,,
Nigeria National Bureau of Statistics,Nigeria,,,,,
Statistics Niue,Niue,en,Statistics Niue,,,
Central Statistics Division,Northern Mariana Islands,en,Statistics Division,,,
Statistics Norway,Norway,en,Statistics Norway,,,
Oman National Center for Statistics and Information (NCSI),Oman,en,Center Statistics ,Statistics Information,,NCSI
Bureau of Statistics,Pakistan,,,,,
Office of Planning and Statistics,Palau,,,,,
