iso,country,year,105,106,107,108,167
AFG,Afghanistan,2016,0.5836121265673562,0.0761898239704713,0.0026685709241256843,0.24940284890231895,0.08812662963572787
AFG,Afghanistan,2017,0.5645811202581265,0.0883300852961303,0.01137260796512532,0.24397363204373135,0.09174255443688648
AFG,Afghanistan,2018,0.5478248168810468,0.09280207302931953,0.010845485696344722,0.2545709377876015,0.09395668660568753
AFG,Afghanistan,2019,0.5289968663655776,0.09291416947929716,0.0108559687605952,0.2680135665075434,0.09921942888698672
AGO,Angola,2016,0.3569472031751857,0.010984311752252706,9.337840086394521e-4,0.43451677546794704,0.19661792559597502
AGO,Angola,2017,0.34763101744897984,0.021374188518473138,0.002115520149113585,0.4139510220949352,0.21492825178849825
AGO,Angola,2018,0.33437226224101574,0.024286849103238806,0.002022181233195538,0.4285944927008109,0.21072421472173905
AGO,Angola,2019,0.3293564371650178,0.021164947569656686,0.0017622442332883642,0.42391959849838873,0.22379677253364852
ALB,Albania,2016,0.5388860559804255,0.13620607767325427,0.09865965573827172,0.21055095901528476,0.01569725159276382
ALB,Albania,2017,0.5382244641356707,0.13607149168200477,0.0985779751224314,0.21055482755457736,0.01657124150531581
ALB,Albania,2018,0.5005203896974404,0.12626915120635818,0.11240418195291378,0.2221461573157348,0.03866011982755296
ALB,Albania,2019,0.49584887773783115,0.12506781420495322,0.11321429490499828,0.2227458962490347,0.04312311690318258
ARE,United Arab Emirates,2016,0,0.5562130177514792,0.26627218934911245,0.17751479289940827,0
ARE,United Arab Emirates,2017,0.33725490196078434,0.3686274509803922,0.17647058823529413,0.11764705882352941,0
ARE,United Arab Emirates,2018,0.33725490196078434,0.3686274509803922,0.17647058823529413,0.11764705882352941,0
ARE,United Arab Emirates,2019,0.33725490196078434,0.3686274509803922,0.17647058823529413,0.11764705882352941,0
ARG,Argentina,2016,0.20290251849130356,0.157935505599057,0.06033882140424197,0.42615604899717047,0.15266710550822699
ARG,Argentina,2017,0.24097330694065314,0.17491025706666247,0.04555433701104168,0.38073573968714725,0.15782635929449548
ARG,Argentina,2018,0.2708902717638081,0.22939922665832757,0.04072054723555273,0.3275533059042842,0.1314366484380275
ARG,Argentina,2019,0.4479708471875826,0.14837894596599774,0.02125305251461109,0.20589239183881636,0.17650476249299216
ARM,Armenia,2016,0.33578538349088505,0.059373892858360554,0.084352647202876,0.4061468050856178,0.11434127136226055
ARM,Armenia,2017,0.3357715604677561,0.05937144865818214,0.08434917472119394,0.4061300855470182,0.11437773060584965
ARM,Armenia,2018,0.32944383372541175,0.05959892689544087,0.08293974646387377,0.40672539046891226,0.12129210244636131
ARM,Armenia,2019,0.3339122877726205,0.05840812568411044,0.08140096921363352,0.40279191100968215,0.12348670631995337
ATG,Antigua & Barbuda,2016,0,0.5,0,0.5,0
ATG,Antigua & Barbuda,2017,0,0.5,0,0.5,0
ATG,Antigua & Barbuda,2018,0,0.5,0,0.26936026936026936,0.23063973063973064
ATG,Antigua & Barbuda,2019,0,0.5,0,0.26936026936026936,0.23063973063973064
AZE,Azerbaijan,2016,0.49396633139996476,0.010311429814600186,0.04833829588162265,0.33055007737432063,0.11683386552949168
AZE,Azerbaijan,2017,0.4922592321269156,0.01078874791873233,0.04817124346425224,0.33196918981431434,0.11681158667578555
AZE,Azerbaijan,2018,0.33057097126712226,0.03864236651140486,0.08386169709016214,0.3223177237062251,0.22460724142508567
AZE,Azerbaijan,2019,0.45391784889724973,0.02987363740413322,0.10325316180739139,0.24567270299662008,0.16728264889460556
BDI,Burundi,2016,0.3383239253887232,0.10953419373838762,0.19586731955790557,0.29492592062001527,0.061348640694968266
BDI,Burundi,2017,0.3614761497707472,0.10807072830591818,0.18743618950006616,0.2804133686538842,0.06260356376938425
BDI,Burundi,2018,0.36506930168831686,0.11688770479723326,0.1823662922747151,0.2746127475895227,0.061063953650212124
BDI,Burundi,2019,0.3646978511363625,0.10877018631453175,0.16970147221746656,0.26197986849400606,0.0948506218376331
BEN,Benin,2016,0.30865697132255554,0.13671247962740196,0.1272622918193465,0.32721361083511574,0.10015464639558024
BEN,Benin,2017,0.3019557069559945,0.11704581993644878,0.11013876325586029,0.38263682118161874,0.08822288867007777
BEN,Benin,2018,0.2795303900555519,0.10888535636599644,0.10396784491572467,0.38734970970401866,0.1202666989587083
BEN,Benin,2019,0.25801414392937333,0.10353317343140862,0.09812137810483978,0.42736712070841926,0.11296418382595903
BFA,Burkina Faso,2016,0.39989016049311665,0.0782308604483696,0.12718902236730864,0.2675490477551209,0.1271409089360842
BFA,Burkina Faso,2017,0.39825148660050463,0.07708710555576685,0.12227063289274848,0.2735112035851775,0.12887957136580258
BFA,Burkina Faso,2018,0.4131632352677246,0.061033868142656704,0.10123664709382964,0.319162346247615,0.10540390324817402
BFA,Burkina Faso,2019,0.42524231856849964,0.05499563610102009,0.09038060701956876,0.3300667714324426,0.09931466687846895
BGD,Bangladesh,2016,0.04715567361277179,0.2765047601657403,0.08487919138190922,0.49675062572304085,0.09470974911653789
BGD,Bangladesh,2017,0.04992422197489784,0.27241667084043786,0.08715672444547255,0.4958561303234515,0.09464625241574029
BGD,Bangladesh,2018,0.06478775363212264,0.2627632151305239,0.08771693841240559,0.48555264091315764,0.09917945191179019
BGD,Bangladesh,2019,0.08893854744208465,0.2525170301992037,0.08450122594939899,0.4759624463961829,0.09808075001312982
BHR,Bahrain,2016,0.2829065993508835,0.7170934006491165,0,0,0
BHR,Bahrain,2017,0.18210306406685237,0.46158310120705665,0,0.356313834726091,0
